Title,Authors,Date,Publisher,Link,Abstract,What is the application?,Who is the user?,What age?,Why use AI?,Study design
ActiveAl: Enabling K-12 AI Literacy Education & Analytics at Scale,"Ruiwei Xiao, Ying-Jui Tseng, Hanqi Li, Hsuan Nieu, Guanze Liao, John Stamper, Kenneth R. Koedinger",12/2024,arXiv,https://arxiv.org/abs/2412.14200,"Interest in K-12 AI Literacy education has surged in the past year, yet large-scale learning data remains scarce despite considerable efforts in developing learning materials and running summer programs. To make larger scale dataset available and enable more replicable findings, we developed an intelligent online learning platform featuring AI Literacy modules and assessments, engaging 1,000 users from 12 secondary schools. Preliminary analysis of the data reveals patterns in prior knowledge levels of AI Literacy, gender differences in assessment scores, and the effectiveness of instructional activities. With open access to this de-identified dataset, researchers can perform secondary analyses, advancing the understanding in this emerging field of AI Literacy education.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Analyzing",Others,High School (9-12),"Outcomes – Other Academic, Reimagined Schooling","Descriptive – Implementation and Use, Descriptive – Product Development"
App Planner: Utilizing Generative AI in K-12 Mobile App Development Education,"David Kim, Prerna Ravi, Randi Williams, Daeun Yoo",04/2024,arXiv,https://arxiv.org/abs/2401.15182,"App Planner is an interactive support tool for K-12 students, designed to assist in creating mobile applications. By utilizing generative AI, App Planner helps students articulate the problem and solution through guided conversations via a chat-based interface. It assists them in brainstorming and formulating new ideas for applications, provides feedback on those ideas, and stimulates creative thinking. Here we report usability tests from our preliminary study with high-school students who appreciated App Planner for aiding the app design process and providing new viewpoints on human aspects especially the potential negative impact of their creation.","Teaching – Instructional Materials, Learning – Student Support",Student,High School (9-12),"Efficiency, Outcomes – Other Academic, Outcomes – Differentiation, Outcomes – Durable Skills","Descriptive – Product Development, Impact – Quasi–experimental"
"Applications, challenges and ethical issues of AI and ChatGPT in education","Dimitrios Sidiropoulos, Christos-Nikolaos Anagnostopoulos",01/2024,arXiv,https://arxiv.org/abs/2402.07907,"Artificial Intelligence (AI) in recent years has shown an unprecedentedly impressive development, tending to play a catalytic role in all aspects of life. The interest of the academic community, but also of governments, is huge in the dynamics of AI and is reflected by the truly explosive amount of investment and research that is underway. Enthusiastic opinions and statements about AI are made every day, but at the same time they also bring to the fore alarming predictions about its effects. This paper aims to describe the opportunities emerging from the use of artificial intelligence and ChatGPT to improve education, but also to identify the challenges and ethical issues that arise.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Communicating / Social Tools, Analyzing","Student, Educator","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation, Outcomes – Durable Skills",Systematic Review
Applying IRT to Distinguish Between Human and Generative AI Responses to Multiple-Choice Assessments,"Alona Strugatski, Giora Alexandron",11/2024,arXiv,https://arxiv.org/abs/2412.02713,"Generative AI is transforming the educational landscape, raising significant concerns about cheating. Despite the widespread use of multiple-choice questions in assessments, the detection of AI cheating in MCQ-based tests has been almost unexplored, in contrast to the focus on detecting AI-cheating on text-rich student outputs. In this paper, we propose a method based on the application of Item Response Theory to address this gap. Our approach operates on the assumption that artificial and human intelligence exhibit different response patterns, with AI cheating manifesting as deviations from the expected patterns of human responses. These deviations are modeled using Person-Fit Statistics. We demonstrate that this method effectively highlights the differences between human responses and those generated by premium versions of leading chatbots (ChatGPT, Claude, and Gemini), but that it is also sensitive to the amount of AI cheating in the data. Furthermore, we show that the chatbots differ in their reasoning profiles. Our work provides both a theoretical foundation and empirical evidence for the application of IRT to identify AI cheating in MCQ-based assessments.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support","Student, Educator","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation",Systematic Review
Are Lesson Plans Created by ChatGPT More Effective? An Experimental Study,"Muhammet Remzi Karaman, İdris Göksu",02/2024,Research Gate,https://www.researchgate.net/publication/377964050_Are_Lesson_Plans_Created_by_ChatGPT_More_Effective_An_Experimental_Study,"In this research, we aimed to determine whether students' math achievements improved using ChatGPT, one of the chatbot tools, to prepare lesson plans in primary school math courses. The research was conducted with a pretest-posttest control group experimental design. The study comprises 39 third-grade students (experimental group = 24, control group = 15). The implementation process lasted five weeks and 25 lesson hours. In the experimental group, lessons were taught according to plans prepared using ChatGPT, while in the control group, existing lesson plans were used. Students' academic achievement was measured with a multiple-choice achievement test of 25 questions with two separate questions for each learning objective. According to the results, students' academic achievement increased significantly (d = 1.268) in math lessons taught according to lesson plans prepared using the ChatGPT. Although there was a difference between the posttest scores of the experimental group and the control group in favor of the experimental group, it was determined that this difference was not significant. These results show that teaching primary school math according to lesson plans prepared using ChatGPT is effective in academic achievement. Teachers should consider ChatGPT and their plans, combining them and benefiting from both in the implementation process.",Teaching – Instructional Materials,Educator,Elementary (PK5),"Efficiency, Outcomes – Numeracy",Impact – Quasi–experimental
Artificial Intelligence Applications in K-12 Education: A Systematic Literature Review,"Mostafa Zafari, Jalal Safari Bazargani, Abolghasem Sadeghi-Niaraki, Soo-Mi Choi",05/2022,IEEE,https://ieeexplore.ieee.org/document/9785805,"Education is a vital part of the development of society and it is changing over time in terms of methods, content, concepts, and models. Recently, it has been increasingly prevalent to benefit from the potentialities of Artificial Intelligence (AI) in addressing educational issues. In this research, the current state of the art of the integration of AI in K-12 education was provided. Specifically, different parts of education in which AI was employed along with the related AI categories were discussed according to different K-12 grades and courses. Additionally, technologies and environments that contributed to employing AI in education were discussed. To this end, a systematic literature review was conducted on articles and conference papers published between 2011 and 2021 in the Web of Science and Scopus databases. As the result of the initial search, 2075 documents were extracted and based on inclusive criteria and 210 documents were identified for further investigation. AI applications were categorized into Student performance, Teaching, Selection, and Behavior tasks, and Other. Machine Learning (ML) and Intelligent Tutoring System (ITS) were the most common approaches among AI categories. Furthermore, high school-related applications were more frequent and STEM courses were substantially targeted by AI. In conclusion, the remarkable impact of AI on education was concluded. The current study reveals information about the potentialities offered by AI in K-12 education which aids researchers in implementing AI-based education systems. As for future works, other databases such as ACM library and Google Scholar can be investigated as well. Furthermore, exploring the 95 papers that were excluded due to inaccessibility to their full texts can be taken into account. Finally, the papers can be also investigated in terms of pedagogical approaches or development tools.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Analyzing","Student, Educator","Elementary (PK5), Middle School (6-8), High School (9-12)","Efficiency, Outcomes – Literacy, Outcomes – Numeracy, Outcomes – Other Academic, Outcomes – Differentiation",Systematic Review
Artificial Intelligence Policy Framework for Institutions,William Franz Lamberti,12/2024,arXiv,https://arxiv.org/abs/2412.02834,"Artificial intelligence (AI) has transformed various sectors and institutions, including education and healthcare. Although AI offers immense potential for innovation and problem solving, its integration also raises significant ethical concerns, such as privacy and bias. This paper delves into key considerations for developing AI policies within institutions. We explore the importance of interpretability and explainability in AI elements, as well as the need to mitigate biases and ensure privacy. Additionally, we discuss the environmental impact of AI and the importance of energy-efficient practices. The culmination of these important components is centralized in a generalized framework to be utilized for institutions developing their AI policy. By addressing these critical factors, institutions can harness the power of AI while safeguarding ethical principles.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Communicating / Social Tools, Organizing, Analyzing","Educator, School Leader, Others","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation, Outcomes – Social Emotional, Outcomes – Durable Skills",Descriptive – Implementation and Use
Artificial Intelligence in Education - From a Teacher and a Student Perspective,Indira Sangapu,12/2018,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3372914,"The application of Artificial Intelligence (AI) is now seen in almost every segment of our life. The current study is to explore the perception of teachers and students, on the usage and effectiveness of AI in the classroom. Online survey with open-ended questions is mailed to different participants of both the segments (teachers and students) and the qualitative data obtained through this is analyzed using MAXQDA 2018.1 version. AI is perceived as a bane and also a boon to the education system and to the human intellect. Optimistic utilization of AI in the classrooms is highly recommended by both teacher and student participants. It is also identified that majority of the teachers are more adaptable to embrace new technological changes than students. Further study on generation and geographic diversity based teacher and student perceptions may support more effective implementation of AI in education.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Analyzing","Student, Educator","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation",Impact – Quasi–experimental
Artificial Intelligence in Education: A Review,"Lijia Chen, Pingping Chen, Zhijian Lin",04/2020,IEEE,https://ieeexplore.ieee.org/document/9069875,"The purpose of this study was to assess the impact of Artificial Intelligence (AI) on education. Premised on a narrative and framework for assessing AI identified from a preliminary analysis, the scope of the study was limited to the application and effects of AI in administration, instruction, and learning. A qualitative research approach, leveraging the use of literature review as a research design and approach was used and effectively facilitated the realization of the study purpose. Artificial intelligence is a field of study and the resulting innovations and developments that have culminated in computers, machines, and other artifacts having human-like intelligence characterized by cognitive abilities, learning, adaptability, and decision-making capabilities. The study ascertained that AI has extensively been adopted and used in education, particularly by education institutions, in different forms. AI initially took the form of computer and computer related technologies, transitioning to web-based and online intelligent education systems, and ultimately with the use of embedded computer systems, together with other technologies, the use of humanoid robots and web-based chatbots to perform instructors' duties and functions independently or with instructors. Using these platforms, instructors have been able to perform different administrative functions, such as reviewing and grading students' assignments more effectively and efficiently, and achieve higher quality in their teaching activities. On the other hand, because the systems leverage machine learning and adaptability, curriculum and content has been customized and personalized in line with students' needs, which has fostered uptake and retention, thereby improving learners experience and overall quality of learning.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Communicating / Social Tools, Organizing, Analyzing","Educator, School Leader","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation, Reimagined Schooling",Systematic Review
"Artificial Intelligence, Teacher Tasks and Individualized Pedagogy","Bruno Ferman, Lima Lycia, Riva Flavio",02/2021,IDEAS,https://ideas.repec.org/p/osf/socarx/qw249.html,"This paper investigates how educational technologies that use different combinations of artificial and human intelligence are incorporated into classroom instruction, and how they ultimately affect learning. We conducted a field experiment to study two technologies that allow teachers to outsource grading and feedback tasks on writing practices of high school seniors. The first technology is a fully automated evaluation system that provides instantaneous scores and feedback. The second one uses human graders as an additional resource to enhance grading and feedback quality in aspects in which the automated system arguably falls short. Both technologies significantly improved students' essay scores in a large college admission exam, and the addition of human graders did not improve effectiveness in spite of increasing perceived feedback quality. Both technologies also similarly helped teachers engage more frequently on personal discussions on essay quality with their students. Taken together, these results indicate that teachers' task composition shifted toward nonroutine activities and this helped circumvent some of the limitations of artificial intelligence. More generally, our results illustrate how the most recent wave of technological change may relocate labor to analytical and interactive tasks that still remain a challenge to automation.","Teaching – Assessment and Feedback, Teaching – Professional Learning",Educator,High School (9-12),"Efficiency, Outcomes – Literacy, Outcomes – Differentiation",Impact – Randomized Controlled Trial
"Assigning AI: Seven Approaches for Students, with Prompts","Ethan R. Mollick, Lilach Mollick",09/2023,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4475995,"This paper examines the transformative role of Large Language Models (LLMs) in education and their potential as learning tools, despite their inherent risks and limitations. The authors propose seven approaches for utilizing AI in classrooms: AI-tutor, AI-coach, AI-mentor, AI-teammate, AI-tool, AI-simulator, and AI-student, each with distinct pedagogical benefits and risks. Prompts are included for each of these approaches. The aim is to help students learn with and about AI, with practical strategies designed to mitigate risks such as complacency about the AI’s output, errors, and biases. These strategies promote active oversight, critical assessment of AI outputs, and complementarity of AI's capabilities with the students' unique insights. By challenging students to remain the ""human in the loop,"" the authors aim to enhance learning outcomes while ensuring that AI serves as a supportive tool rather than a replacement. The proposed framework offers a guide for educators navigating the integration of AI-assisted learning in classrooms.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Communicating / Social Tools",Educator,"Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary","Outcomes – Differentiation, Outcomes – Durable Skills, Reimagined Schooling",Descriptive – Implementation and Use
Backwards Planning with Generative AI: Case Study Evidence from US K12 Teachers,"Samantha Keppler, Wichinpong Park Sinchaisri, Clare Snyder",08/2024,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4924786,"Backward planning is an effective and efficient operational process when working towards a goal: work backward from the desired outcome to figure out the steps needed to accomplish them in the time allowed. While many organizations and workers might use it, backward planning is a universal practice among US K12 teachers. The emergence of generative AI has stimulated many conversations about its impact on teacher work, but it is still unclear if and how generative AI fits within the backward planning approach adopted by most every teacher. Given backward planning is standard workflow process in K12 education, we ask: How are teachers using generative AI to support their teaching work? Our methodology is a case study of 24 US public school teachers, sampled to vary by subject area and grade level, during the 2023-2024 school year. We conduct interviews, observations, and surveys at different points in time to understand their evolving generative AI use. In fall 2023, all teachers were novice users or had never tried generative AI. By spring 2024, the teachers separate into three distinct groups: (1) those who seek generative AI input (i.e., thoughts or ideas about learning plans) and output (i.e., quizzes, worksheets), (2) those who only seek generative AI outputs, and (3) those not using generative AI. The teachers in the first group-but not the second group-report productivity gains in terms of workload and work quality. Our findings have implications for understanding how to integrate generative AI into backward, goal-oriented workflows.","Teaching – Instructional Materials, Teaching – Professional Learning",Educator,"Elementary (PK5), Middle School (6-8), High School (9-12)","Efficiency, Outcomes – Other Academic",Impact – Quasi–experimental
Bringing Generative AI to Adaptive Learning in Education,"Hang Li, Tianlong Xu, Chaoli Zhang, Eason Chen, Jing Liang, Xing Fan, Haoyang Li, Jiliang Tang, Qingsong Wen",06/2024,arXiv,https://arxiv.org/abs/2402.14601,"The recent surge in generative AI technologies, such as large language models and diffusion models, has boosted the development of AI applications in various domains, including science, finance, and education. Concurrently, adaptive learning, a concept that has gained substantial interest in the educational sphere, has proven its efficacy in enhancing students' learning efficiency. In this position paper, we aim to shed light on the intersectional studies of these two methods, which combine generative AI with adaptive learning concepts. By presenting discussions about the benefits, challenges, and potentials in this field, we argue that this union will contribute significantly to the development of the next-stage learning format in education.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support","Student, Educator","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation, Reimagined Schooling",Systematic Review
